Name,Category,Subcategory,Pricing floor (USD/mo),Pricing model,Integrations,Free tier,Aiprosol verdict,Gotchas,Verdict tier
Hey.com,Email,Opinionated email,99,$99/year,0,No,Designed-for-attention email.,Niche.,
Miro,Whiteboard,Industry default,0,free / $8+/user/mo,100,Yes,Industry default whiteboard.,Pricing rose.,
Mural,Whiteboard,Enterprise,0,free / $12+/user/mo,50,Yes,Mural's whiteboard.,Pricier than Miro.,
FigJam,Whiteboard,Figma's,0,with Figma plan,30,Yes,Best for design teams.,Tied to Figma.,
tldraw,Whiteboard,Open source,0,free,0,Yes,Open-source whiteboard.,Smaller community.,
Excalidraw,Whiteboard,Hand-drawn diagrams,0,free / $7+/user/mo plus,0,Yes,Best hand-drawn style.,Niche.,
Lucidchart,Diagram,Diagrams as code,0,free / $7.95+/user/mo,50,Yes,Best diagram suite.,Pricier than alternatives.,
Whimsical,Diagram,Flowcharts + sticky notes,0,free / $10+/user/mo,30,Yes,Modern diagram tool.,Smaller community.,
Mermaid Live,Diagram,Diagrams as code,0,free,0,Yes,Open-source diagram syntax.,Code-only.,
Typeform,Forms,Industry default,0,free / $25+/mo,100,Yes,Best UX for forms.,Pricing rose.,
Tally,Forms,Free Typeform alt,0,free / $29+/mo,30,Yes,Best free Typeform alt.,Smaller community.,
Jotform,Forms,Veteran forms,0,free / $34+/mo,50,Yes,Most features.,UX less polished.,
Google Forms,Forms,Free,0,free with Google,30,Yes,Industry default free.,Basic features.,
Microsoft Forms,Forms,Free for M365,0,with M365,30,No,Best for MS shops.,Tied to M365.,
SurveyMonkey,Forms,Surveys,0,free / $39+/mo,50,Yes,Industry default surveys.,Pricing premium.,
Hotjar Ask,Forms,Embedded surveys,0,with Hotjar,0,Yes,Within Hotjar.,Tied to Hotjar.,
Refiner,Forms,Customer surveys,0,$79+/mo,30,No,B2B customer surveys.,Niche.,
Sprig,Forms,Product surveys,0,free / $175+/mo,30,Yes,Product analytics + surveys.,Pricing scales.,
Hotjar Engage,Forms,User interviews,0,with Hotjar,0,No,Recruit users.,Tied to Hotjar.,
Huginn,No-code automation,Open source,0,self-host,30,Yes,Veteran open-source automation.,Smaller community.,
Apache Airflow,No-code automation,Code-based,0,open source,30,Yes,Industry default ETL/orchestration.,Steep learning curve.,
Dagster,No-code automation,Modern orchestration,0,open source / cloud,30,Yes,Modern Airflow alt.,Newer.,
Prefect,No-code automation,Modern orchestration,0,open source / cloud,30,Yes,Modern orchestration.,Smaller community.,
Apache NiFi,No-code automation,Data integration,0,open source,30,Yes,Enterprise data integration.,Heavy.,
Embedchain,Knowledge base,Open source RAG framework,0,open source,0,Yes,Easy RAG framework.,Less control.,
RAGFlow,Knowledge base,Open source RAG platform,0,open source,0,Yes,Full RAG platform.,Newer.,
LlamaParse,Knowledge base,Parsing,0,free / $0.01+/page,0,Yes,Best PDF parsing.,Pricing scales.,
Unstructured,Knowledge base,Document parsing,0,free / $0.01+/page,0,Yes,Comprehensive parsing.,Smaller community.,
Voyage AI Embeddings,Knowledge base,Embeddings,0,$0.06+/M tokens,0,Yes,Best non-OpenAI embeddings.,Newer.,
Cohere Embed,Knowledge base,Embeddings,0,$0.10+/M tokens,0,No,Cohere's embedding API.,Smaller ecosystem.,
Jina Embeddings,Knowledge base,Embeddings,0,$0.02+/M tokens,0,Yes,Open-source embeddings.,Newer.,
Helicone,AI observability,LLM observability,0,free / $25+/mo,0,Yes,Best for tracking LLM usage.,Newer.,
LangSmith,AI observability,LangChain native,0,free / $39+/user/mo,0,Yes,LangChain's observability.,Tied to LangChain.,
Arize,AI observability,ML observability,0,free / $200+/mo,30,Yes,ML and LLM observability.,Pricing scales.,
Phoenix (Arize),AI observability,Open source,0,open source,0,Yes,Arize's open-source.,Less polished UI.,
Lunary,AI observability,LLM analytics,0,free / $19+/mo,0,Yes,LLM analytics + prompts.,Smaller community.,
Langfuse,AI observability,Open source,0,open source / cloud,0,Yes,Open-source LLM observability.,Newer.,
Pezzo,AI observability,Open source,0,open source,0,Yes,Prompt management.,Niche.,
Traceloop,AI observability,OpenTelemetry-based,0,free / $50+/mo,0,Yes,Standard-based AI observability.,Newer.,
Less Annoying CRM,CRM/Sales,Tiny biz,15,$15+/user/mo,30,No,Best for solos.,Limited at scale.,
Capsule CRM,CRM/Sales,Lightweight,18,$18+/user/mo,50,No,Simple SMB CRM.,Less powerful.,
Insightly,CRM/Sales,Mid-market,29,$29+/user/mo,50,No,Mid-market CRM.,Below HubSpot.,
Copper,CRM/Sales,Google-native,23,$23+/user/mo,50,No,Inside Gmail.,Niche.,
Streak,CRM/Sales,Gmail-only CRM,0,free / $19+/user/mo,30,Yes,Inside Gmail.,Gmail-only.,
Nutshell,CRM/Sales,Affordable CRM,19,$19+/user/mo,50,No,Mid-market CRM.,Smaller community.,
