id,category,subcategory,title,system,user_template,best_model,notes
ENG-002,code-review,Security review,Security review,You review code for security issues.,"Code: {{code}}. Output: security review covering: input validation, auth, authz, data exposure, injection risks, dependency vulns. Severity rating per issue.",Claude 3.5 Sonnet,Conservative on severity. False positives are cheaper than false negatives.
ENG-003,architecture,Architecture decision record (ADR),Architecture decision record (ADR),You write ADRs.,"Decision: {{decision}}. Context: {{context}}. Output: ADR with: title, status, context, decision, consequences (positive + negative), alternatives considered.",Claude 3.5 Sonnet,Alternatives considered = your future self thanks you.
ENG-004,architecture,System design (technical),System design (technical),You design systems with clarity.,"Requirements: {{requirements}}. Constraints: {{constraints}}. Scale: {{scale}}. Output: system design with: component diagram suggestion, key technologies, data flow, failure modes + mitigation.",Claude 3.5 Sonnet,Failure modes first. Happy path is the easy part.
ENG-005,debug,Bug triage template,Bug triage template,You triage bug reports.,"Bug report: {{report}}. Output: triage with: severity, impact, reproduction steps, suspected root cause, owner.",Claude 3.5 Sonnet,Reproducible bugs get fixed. Unreproducible bugs sit forever.
ENG-006,debug,Root cause analysis (5 whys),Root cause analysis (5 whys),You facilitate root cause analyses using 5 whys.,"Issue: {{issue}}. Surface symptoms: {{symptoms}}. Output: 5-whys analysis ending in: root cause statement, contributing factors, action items at multiple levels (process, code, monitoring).",Claude 3.5 Sonnet,Stop at the deepest cause WITHOUT blaming a person.
ENG-007,testing,Test strategy,Test strategy,You design test strategies.,"Feature: {{feature}}. Risk profile: {{risk}}. Output: test strategy covering: unit tests, integration tests, e2e tests, manual QA, edge cases, regression suite additions.",Claude 3.5 Sonnet,Bias toward edge cases. Happy path tests itself.
ENG-008,testing,Edge case generator,Edge case generator,You generate edge cases for a given function.,"Function signature: {{signature}}. Output: 10 edge cases covering: empty, null, max size, special chars, concurrency, locale, network failure, timeout, malformed input, security.",Claude 3.5 Sonnet,10 cases > 100. Quality of coverage > quantity.
ENG-009,ops,Incident response runbook,Incident response runbook,You write incident response runbooks.,"Incident type: {{type}}. Output: runbook with: detection signals, immediate actions (first 5 min), investigation steps, escalation, communication template, recovery validation.",Claude 3.5 Sonnet,First-5-min actions = the most-tested. Get those right.
ENG-010,ops,On-call handoff template,On-call handoff template,You design on-call handoff templates.,"Frequency: {{freq}}. Output: handoff doc covering: open incidents, pending follow-ups, anomalies observed, weekly summary, known issues outgoing on-call carried.",Claude 3.5 Sonnet,Anomalies observed is the gold. They become tomorrow's incidents.
ENG-011,documentation,API documentation,API documentation,You write API documentation.,"Endpoint: {{endpoint}}. Audience: {{audience}} (internal devs / external partners). Output: docs with: overview, auth, request/response examples, error codes, rate limits, common use cases.",Claude 3.5 Sonnet,Common use cases = where buyers decide to integrate.
ENG-012,documentation,README writer,README writer,You write project READMEs.,"Project: {{project}}. Audience: {{audience}}. Output: README covering: what + why, install, quick-start example, common workflows, troubleshooting, contributing, license.",Claude 3.5 Sonnet,"Quick-start in 30 seconds. If it takes longer, fix the README."
ENG-013,documentation,Migration guide,Migration guide,You write migration guides.,"From: {{fromVersion}}. To: {{toVersion}}. Output: migration guide with: breaking changes, step-by-step migration, automated migration script idea, rollback path.",Claude 3.5 Sonnet,Breaking changes first. Don't bury the lead.
ENG-014,performance,Performance optimization audit,Performance optimization audit,You audit code for performance issues.,"Code: {{code}}. Metric to optimize: {{metric}}. Output: top 3 performance opportunities with: current cost, expected gain, implementation effort.",Claude 3.5 Sonnet,Measure before optimizing. 'Faster' without baseline = vibes.
ENG-015,performance,Database query optimization,Database query optimization,You optimize SQL queries.,Query: {{query}}. Schema hints: {{schema}}. Output: 3 optimization suggestions in priority order with explanation.,Claude 3.5 Sonnet,Index strategy before refactoring queries.
ENG-016,security,Threat model,Threat model,You design threat models using STRIDE.,"System: {{system}}. Trust boundaries: {{boundaries}}. Output: STRIDE threat model: Spoofing, Tampering, Repudiation, Info disclosure, DoS, Elevation. 1-2 threats per category with mitigations.",Claude 3.5 Sonnet,"Mitigations should be actionable, not principles."
ENG-017,security,Security incident report,Security incident report,You write security incident reports.,"Incident: {{incident}}. Impact: {{impact}}. Output: report with: timeline, scope of impact, root cause, immediate mitigations, long-term action items.",Claude 3.5 Sonnet,Have legal review before external comms.
ENG-018,data,Database schema design,Database schema design,You design database schemas.,"Domain: {{domain}}. Key entities: {{entities}}. Output: schema with: table definitions, relationships, indices, soft-delete approach, audit columns, naming convention.",Claude 3.5 Sonnet,Soft deletes + audit columns from day 1. Retrofit is painful.
ENG-019,data,Data migration plan,Data migration plan,You plan data migrations.,"Source: {{source}}. Target: {{target}}. Volume: {{volume}}. Output: migration plan with: validation strategy, rollback path, cutover plan, post-migration checks.",Claude 3.5 Sonnet,Always run dry-runs on a copy. Never first-touch in production.
ENG-020,team,Engineering manager 1:1 framework,Engineering manager 1:1 framework,You help engineering managers run effective 1:1s.,"Frequency: weekly. Output: 1:1 framework covering: technical growth, career, blockers, manager-asks, feedback both ways. Include cadence (weekly tactical, monthly strategic).",Claude 3.5 Sonnet,Weekly tactical only = career growth gets dropped. Mix in monthly strategic.
